date,year,month,season,state,state_abbr,primary_mode,etiology,serotype_or_genotype,ifsac_category,setting,illnesses,hospitalizations,deaths,outbreak_severity,food_vehicle_missing,water_exposure,water_exposure_missing,water_type,water_type_group,animal_type,animal_group,is_food_related,is_water_related,is_animal_related
2020-01-01,2020,1,Winter,Pennsylvania,PA,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,34,-0.18460740711594367,-0.0910808702943546,33.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Connecticut,CT,Person-to-person,Norovirus Genogroup II,unknown,Not Applicable,Long-term care/nursing home/assisted living facility,82,0.07193255478390324,7.226797210734081,89.29872976551798,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Oregon,OR,Food,Unknown,Not Applicable,Not Applicable,Restaurant: Other,18,-0.18460740711594367,-0.0910808702943546,17.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,North Carolina,NC,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,71,0.5850124785835971,-0.0910808702943546,71.49393160828924,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Ohio,OH,Person-to-person,Norovirus,Not Applicable,Not Applicable,Restaurant,8,-0.18460740711594367,-0.0910808702943546,7.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Ohio,OH,Person-to-person,Norovirus Genogroup II;Norovirus Genogroup II,unknown;GII.P12 GII.3,Not Applicable,Long-term care/nursing home/assisted living facility,8,-0.18460740711594367,-0.0910808702943546,7.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Virginia,VA,Food,Norovirus Genogroup II,unknown,Not Applicable,Restaurant: Sit-down dining,4,-0.18460740711594367,-0.0910808702943546,3.7243117225897016,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Wyoming,WY,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,28,-0.18460740711594367,-0.0910808702943546,27.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Utah,UT,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,15,-0.18460740711594367,-0.0910808702943546,14.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,North Carolina,NC,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,28,-0.18460740711594367,-0.0910808702943546,27.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Pennsylvania,PA,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Other healthcare facility,7,-0.18460740711594367,-0.0910808702943546,6.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Pennsylvania,PA,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,84,-0.18460740711594367,-0.0910808702943546,83.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Food,Norovirus Genogroup I,GI.P1 GI.1,Multiple,Restaurant: Sit-down dining,19,-0.18460740711594367,-0.0910808702943546,18.7243117225897,Present,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Washington,WA,Person-to-person,Norovirus Genogroup II,GII.P16 GII.10,Not Applicable,Long-term care/nursing home/assisted living facility,38,-0.18460740711594367,-0.0910808702943546,37.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,New Mexico,NM,Food,Salmonella enterica,Oranienburg,Beef,Restaurant: Buffet,18,0.32847251668375016,-0.0910808702943546,18.237391646389394,Present,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Virginia,VA,Person-to-person,Norovirus,Not Applicable,Not Applicable,School/college/university,12,-0.18460740711594367,-0.0910808702943546,11.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Virginia,VA,Food,Norovirus Genogroup II;Norovirus Genogroup II,GII.P16 GII.2;unknown,Not Applicable,Restaurant: Sit-down dining,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,33,-0.18460740711594367,-0.0910808702943546,32.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Massachusetts,MA,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,12,-0.18460740711594367,-0.0910808702943546,11.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
