year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
2023,1,2023-01-01,Winter,Kansas,KS,Person-to-person,Long-term care/nursing home/assisted living facility,Norovirus Genogroup II,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,36.0,0.0,0.0,0.001756824935474466,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Kansas,KS,Person-to-person,Long-term care/nursing home/assisted living facility,Norovirus Genogroup I,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,13.0,0.0,0.0,-0.01294451395039777,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Kansas,KS,Food,Unknown,Campylobacter jejuni,Campylobacter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,1,0,0
2023,1,2023-01-01,Winter,Kansas,KS,Person-to-person,School/college/university,Norovirus Genogroup I,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,156.0,0.0,0.0,0.07845946260089483,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Connecticut,CT,Person-to-person,School/college/university,Norovirus Genogroup I,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,167.0,0.0,0.0,0.08549053772022502,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,Other,Sapovirus,Other,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,15.0,0.0,0.0,-0.011666136655974097,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Idaho,ID,Animal contact,Residence - Single-family home,Campylobacter unknown,Campylobacter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Dog or puppy,House Pets,2.0,1.0,0.0,-0.01997558906972797,0.07220121886936216,-0.09101070221646372,0.5,0.0,Missing,Missing,0,0,1
2023,1,2023-01-01,Winter,Florida,FL,Water,Hotel/motel,Legionella pneumophila,Other,Not Applicable,Not Applicable,Drinking water;Recreational water -- treated,Community;Hot Tub/Spa/Whirlpool,Drinking/Community Water,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
2023,1,2023-01-01,Winter,Oregon,OR,Person-to-person,Long-term care/nursing home/assisted living facility,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,13.0,0.0,0.0,-0.01294451395039777,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Louisiana,LA,Water,Correctional/detention facility,Legionella pneumophila,Other,Not Applicable,Not Applicable,Drinking water,Unknown,Unknown,Not Applicable,Other/Unknown,3.0,3.0,1.0,-0.019336400422516133,0.585825459660625,2.352031511888739,1.0,0.3333333333333333,Missing,Present,0,1,0
