"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1974-10",1974,10,"Fall","Pennsylvania","PA","Water","Unknown",18,0,0,18,"Drinking water","Other",NA,0,1,0
"1974-11",1974,11,"Fall","New York","NY","Water","Giardia duodenalis",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1974-12",1974,12,"Winter","Montana","MT","Water","Unknown",615,0,0,615,"Drinking water","Other",NA,0,1,0
"1975-01",1975,1,"Winter","New Jersey","NJ","Water","Unknown",390,0,0,390,"Drinking water","Other",NA,0,1,0
"1975-02",1975,2,"Winter","Massachusetts","MA","Water","Hepatitis A",17,0,0,17,"Other/Environmental water",NA,NA,0,1,0
"1975-03",1975,3,"Spring","Puerto Rico",NA,"Water","Unknown",550,0,0,550,"Drinking water","Community",NA,0,1,0
"1975-04",1975,4,"Spring","Indiana","IN","Water","Unknown",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1975-04",1975,4,"Spring","New Jersey","NJ","Water","Unknown",350,0,0,350,"Drinking water","Community",NA,0,1,0
"1975-05",1975,5,"Spring","California","CA","Water","Unknown",80,0,0,80,"Drinking water","Other",NA,0,1,0
"1975-05",1975,5,"Spring","Ohio","OH","Water","Unknown",140,0,0,140,"Drinking water","Other",NA,0,1,0
"1975-05",1975,5,"Spring","Louisiana","LA","Water","Oil",26,0,0,26,"Drinking water","Other",NA,0,1,0
"1975-06",1975,6,"Summer","Oregon","OR","Water","Escherichia coli, Enterotoxigenic",0,0,0,0,"Drinking water","Other",NA,0,1,0
"1975-06",1975,6,"Summer","California","CA","Water","Unknown",900,0,0,900,"Drinking water","Other",NA,0,1,0
"1975-06",1975,6,"Summer","Arkansas","AR","Water","Unknown",500,0,0,500,"Drinking water","Other",NA,0,1,0
"1975-06",1975,6,"Summer","New Jersey","NJ","Water","herbicide",4,0,0,4,"Drinking water","Community",NA,0,1,0
"1975-06",1975,6,"Summer","Minnesota","MN","Water","Unknown",136,0,0,136,"Drinking water","Other",NA,0,1,0
"1975-07",1975,7,"Summer","Tennessee","TN","Water","Unknown",40,0,0,40,"Drinking water","Other",NA,0,1,0
"1975-07",1975,7,"Summer","California","CA","Water","Unknown",19,0,0,19,"Drinking water","Other",NA,0,1,0
"1975-07",1975,7,"Summer","Pennsylvania","PA","Water","Unknown",88,0,0,88,"Drinking water","Other",NA,0,1,0
"1975-08",1975,8,"Summer","Kansas","KS","Water","Legionella unknown",3,0,3,6,"Undetermined water",NA,NA,0,1,0
"1975-08",1975,8,"Summer","Arkansas","AR","Water","Unknown",23,0,0,23,"Drinking water","Other",NA,0,1,0
"1975-08",1975,8,"Summer","Pennsylvania","PA","Water","Unknown",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1975-08",1975,8,"Summer","Pennsylvania","PA","Water","Unknown",37,0,0,37,"Drinking water","Other",NA,0,1,0
"1975-08",1975,8,"Summer","Montana","MT","Water","Shigella sonnei",56,0,0,56,"Drinking water","Other",NA,0,1,0
"1975-09",1975,9,"Fall","Louisiana","LA","Water","Copper",30,0,0,30,"Drinking water","Other",NA,0,1,0
"1975-09",1975,9,"Fall","Idaho","ID","Water","Giardia duodenalis",9,0,0,9,"Other/Environmental water",NA,NA,0,1,0
"1975-09",1975,9,"Fall","Oregon","OR","Water","Unknown",7,0,0,7,"Drinking water","Other",NA,0,1,0
"1975-10",1975,10,"Fall","Pennsylvania","PA","Water","Unknown",100,0,0,100,"Drinking water","Other",NA,0,1,0
"1975-10",1975,10,"Fall","South Carolina","SC","Water","ethyl acrylate",7,0,0,7,"Drinking water","Community",NA,0,1,0
"1976-02",1976,2,"Winter","Colorado","CO","Water","Giardia duodenalis",12,0,0,12,"Drinking water","Other",NA,0,1,0
"1976-02",1976,2,"Winter","Vermont","VT","Water","Unknown",150,0,0,150,"Drinking water","Community",NA,0,1,0
"1976-03",1976,3,"Spring","New York","NY","Water","Salmonella unknown",750,0,0,750,"Drinking water","Community",NA,0,1,0
"1976-03",1976,3,"Spring","Tennessee","TN","Water","Chlordane",13,0,0,13,"Drinking water","Community",NA,0,1,0
"1976-04",1976,4,"Spring","Oklahoma","OK","Water","Unknown",65,0,0,65,"Drinking water","Other",NA,0,1,0
